country_name,indicator_name,sex,age_group,age_categories,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guinea-Bissau,Unemployment rate by sex and age,Male,25+,Adults,3.728,3.557,3.495,3.395,3.497,3.537,4.215,4.293,3.536,3.415,3.355
Guyana,Unemployment rate by sex and age,Male,25+,Adults,8.553,8.899,9.173,9.423,9.635,9.294,11.187,10.703,8.371,6.739,6.08
Haiti,Unemployment rate by sex and age,Male,25+,Adults,7.765,7.722,7.838,7.842,7.899,8.016,9.244,9.33,8.651,8.772,8.628
Honduras,Unemployment rate by sex and age,Male,25+,Adults,4.355,3.618,4.226,2.812,3.473,3.003,7.656,5.238,4.245,4.065,3.977
"Hong Kong, China",Unemployment rate by sex and age,Male,25+,Adults,2.976,2.747,3.074,2.926,2.673,3.026,6.211,5.601,4.759,4.364,4.171
Hungary,Unemployment rate by sex and age,Male,25+,Adults,6.493,5.605,4.429,3.311,2.946,2.652,3.466,3.281,3.162,3.412,3.329
Iceland,Unemployment rate by sex and age,Male,25+,Adults,3.353,2.49,2.141,1.588,2.146,2.431,4.745,4.489,2.846,2.907,2.753
India,Unemployment rate by sex and age,Male,25+,Adults,4.994,4.803,4.62,4.446,4.28,3.819,5.431,4.299,2.845,2.828,2.765
Indonesia,Unemployment rate by sex and age,Male,25+,Adults,1.986,2.207,2.454,2.016,2.335,1.944,2.713,2.551,1.9,1.805,1.755
Iran,Unemployment rate by sex and age,Male,25+,Adults,7.092,7.653,8.741,8.563,8.881,7.591,7.196,6.723,6.359,6.204,6.133
Iraq,Unemployment rate by sex and age,Male,25+,Adults,5.46,5.332,5.058,6.831,7.2,7.643,8.975,9.405,9.425,9.447,9.315
Ireland,Unemployment rate by sex and age,Male,25+,Adults,10.823,9.037,7.542,5.929,4.614,4.003,4.427,5.101,3.539,3.575,3.904
Israel,Unemployment rate by sex and age,Male,25+,Adults,4.938,4.321,3.918,3.563,3.417,3.205,3.836,4.44,3.228,2.98,3.298
Italy,Unemployment rate by sex and age,Male,25+,Adults,9.828,9.479,9.208,8.863,8.405,7.878,7.166,7.421,6.105,5.877,6.051
Jamaica,Unemployment rate by sex and age,Male,25+,Adults,4.757,4.455,4.142,3.529,2.69,2.6,4.093,3.877,3.435,3.295,3.322
Japan,Unemployment rate by sex and age,Male,25+,Adults,3.515,3.444,3.169,2.813,2.535,2.362,2.849,2.886,2.592,2.673,2.784
Jordan,Unemployment rate by sex and age,Male,25+,Adults,5.857,6.505,8.189,11.633,12.24,11.112,13.369,13.898,13.274,13.09,12.979
Kazakhstan,Unemployment rate by sex and age,Male,25+,Adults,4.598,4.495,4.54,4.501,4.441,4.38,4.559,5.19,4.444,4.24,4.16
Kenya,Unemployment rate by sex and age,Male,25+,Adults,1.345,1.348,1.347,1.989,2.585,3.165,3.294,2.935,2.815,2.696,2.609
North Korea,Unemployment rate by sex and age,Male,25+,Adults,2.158,2.142,2.141,2.083,2.06,2.112,2.358,2.519,2.39,2.339,2.301
South Korea,Unemployment rate by sex and age,Male,25+,Adults,2.828,3.234,3.36,3.432,3.601,3.556,3.575,3.328,2.529,2.53,2.69
Kuwait,Unemployment rate by sex and age,Male,25+,Adults,1.099,0.682,0.553,0.57,0.575,0.593,1.385,1.086,0.593,0.545,0.496
Kyrgyzstan,Unemployment rate by sex and age,Male,25+,Adults,2.516,2.617,2.726,2.822,2.908,3.181,3.651,3.095,3.024,3.056,3.069
Laos,Unemployment rate by sex and age,Male,25+,Adults,1.761,2.139,2.535,2.936,2.998,3.083,3.756,4.137,3.708,3.681,3.676
Latvia,Unemployment rate by sex and age,Male,25+,Adults,11.022,10.372,9.908,9.01,8.074,6.647,8.735,8.001,7.186,7.331,7.44
Lebanon,Unemployment rate by sex and age,Male,25+,Adults,5.151,5.527,5.895,6.224,6.526,6.916,8.634,8.215,7.244,7.16,6.956
Lesotho,Unemployment rate by sex and age,Male,25+,Adults,13.402,13.639,13.545,13.89,14.121,14.328,15.882,15.896,14.239,13.859,13.652
Liberia,Unemployment rate by sex and age,Male,25+,Adults,2.496,3.302,4.196,4.172,4.158,4.177,5.934,5.481,4.101,3.889,3.802
Libya,Unemployment rate by sex and age,Male,25+,Adults,13.361,13.637,13.425,13.05,12.938,13.056,13.75,13.762,13.24,12.369,11.933
Lithuania,Unemployment rate by sex and age,Male,25+,Adults,11.338,9.483,8.397,7.911,6.433,6.42,8.284,7.107,5.926,6.373,6.366
Luxembourg,Unemployment rate by sex and age,Male,25+,Adults,4.535,4.983,5.002,4.614,4.439,4.579,5.173,3.876,3.584,4.727,5.058
"Macau, China",Unemployment rate by sex and age,Male,25+,Adults,1.617,1.681,1.914,2.007,1.979,1.863,2.361,2.209,2.29,1.539,1.041
Madagascar,Unemployment rate by sex and age,Male,25+,Adults,0.746,0.935,0.922,0.923,0.929,0.932,1.323,1.371,1.054,1.016,0.989
Malawi,Unemployment rate by sex and age,Male,25+,Adults,3.148,3.124,3.174,3.204,3.153,3.076,3.772,3.802,3.184,3.154,3.129
Malaysia,Unemployment rate by sex and age,Male,25+,Adults,1.437,1.529,1.825,1.833,1.779,1.89,3.209,2.812,2.456,2.445,2.455
Maldives,Unemployment rate by sex and age,Male,25+,Adults,3.928,3.695,3.432,3.258,3.057,2.843,3.819,3.609,2.994,2.965,3.064
Mali,Unemployment rate by sex and age,Male,25+,Adults,1.298,1.15,1.079,1.204,1.34,1.686,2.522,1.957,2.885,2.86,2.807
Malta,Unemployment rate by sex and age,Male,25+,Adults,5.057,4.316,3.62,2.927,2.886,2.532,3.28,2.71,2.458,1.826,1.644
Mauritania,Unemployment rate by sex and age,Male,25+,Adults,7.477,7.567,7.776,7.842,6.814,5.637,6.127,6.254,5.892,5.765,5.655
Mauritius,Unemployment rate by sex and age,Male,25+,Adults,3.308,2.968,2.688,2.755,2.222,2.443,5.955,5.429,3.296,1.952,1.459
Mexico,Unemployment rate by sex and age,Male,25+,Adults,3.834,3.396,3.084,2.657,2.483,2.748,4.028,3.347,2.653,2.241,2.421
Moldova,Unemployment rate by sex and age,Male,25+,Adults,1.773,2.078,2.087,1.725,1.286,1.664,1.276,1.028,1.022,1.84,1.628
Mongolia,Unemployment rate by sex and age,Male,25+,Adults,4.09,4.412,6.824,6.004,4.545,4.781,5.64,7.154,6.519,5.934,5.47
Montenegro,Unemployment rate by sex and age,Male,25+,Adults,15.846,15.36,16.152,13.756,13.182,13.328,15.687,14.64,14.39,13.297,12.755
Morocco,Unemployment rate by sex and age,Male,25+,Adults,7.255,7.086,6.591,6.972,7.077,7.081,9.092,8.634,7.456,7.309,7.214
Mozambique,Unemployment rate by sex and age,Male,25+,Adults,1.411,1.401,1.45,1.511,1.569,1.603,1.868,2.03,1.667,1.609,1.61
Myanmar,Unemployment rate by sex and age,Male,25+,Adults,0.45,0.468,0.533,0.638,0.413,0.188,0.453,1.991,0.978,1.035,1.052
Namibia,Unemployment rate by sex and age,Male,25+,Adults,12.334,14.947,17.904,18.02,17.905,18.052,19.382,19.534,18.314,17.929,17.703
Nepal,Unemployment rate by sex and age,Male,25+,Adults,7.239,7.23,7.209,7.182,7.166,7.158,9.387,8.935,7.402,7.533,7.536
Netherlands,Unemployment rate by sex and age,Male,25+,Adults,6.248,5.701,4.572,3.708,3.029,2.713,2.758,2.912,2.534,2.33,2.344
New Caledonia,Unemployment rate by sex and age,Male,25+,Adults,9.779,8.816,7.867,6.837,7.883,7.866,9.855,9.442,7.891,7.653,7.592
New Zealand,Unemployment rate by sex and age,Male,25+,Adults,3.171,3.287,3.221,2.788,2.735,2.598,2.93,2.499,1.975,2.299,2.566
Nicaragua,Unemployment rate by sex and age,Male,25+,Adults,2.894,3.213,2.793,2.435,4,4.296,5.157,5.173,3.819,3.651,3.569
Niger,Unemployment rate by sex and age,Male,25+,Adults,0.469,0.532,0.526,0.544,0.511,0.508,0.678,0.839,0.536,0.507,0.452
Nigeria,Unemployment rate by sex and age,Male,25+,Adults,3.276,3.46,3.832,4.155,4.344,4.386,4.413,3.593,1.975,1.813,1.769
North Macedonia,Unemployment rate by sex and age,Male,25+,Adults,25.026,24.413,22.332,20.376,18.792,14.849,15.079,15.006,14.439,12.456,11.359
Norway,Unemployment rate by sex and age,Male,25+,Adults,2.922,3.577,4.262,3.562,3.079,3.033,3.621,3.292,2.157,2.533,2.617
Palestine,Unemployment rate by sex and age,Male,25+,Adults,14.085,15.385,15.868,16.334,17.476,17.043,18.443,17.955,16.772,0,0
Oman,Unemployment rate by sex and age,Male,25+,Adults,0.788,0.736,0.653,0.5,0.346,0.403,0.624,0.46,0.345,0.293,0.254
Pakistan,Unemployment rate by sex and age,Male,25+,Adults,0.98,1.848,1.088,1.82,2.542,2.665,4.617,3.921,3.515,3.534,3.547
Panama,Unemployment rate by sex and age,Male,25+,Adults,2.24,2.54,2.76,2.84,2.87,3.45,7.901,8.16,5.13,4.698,4.571
Papua New Guinea,Unemployment rate by sex and age,Male,25+,Adults,2.946,2.923,2.903,3.057,3.167,3.189,3.734,4.024,3.351,3.317,3.225
Paraguay,Unemployment rate by sex and age,Male,25+,Adults,2.348,2.341,2.746,3.199,3.368,3.383,3.882,3.895,3.952,3.131,3.174
Peru,Unemployment rate by sex and age,Male,25+,Adults,1.943,2.315,2.56,2.445,2.134,2.206,6.18,3.871,2.339,1.913,1.907
Philippines,Unemployment rate by sex and age,Male,25+,Adults,2.264,1.849,1.611,1.54,1.38,1.312,1.731,2.354,1.452,1.39,1.353
Poland,Unemployment rate by sex and age,Male,25+,Adults,7.097,6.073,5.046,4.006,3.193,2.48,2.523,2.752,2.279,2.168,2.017
Portugal,Unemployment rate by sex and age,Male,25+,Adults,11.873,10.81,9.68,7.29,5.469,5.004,5.479,5.159,4.612,5.005,4.98
Puerto Rico,Unemployment rate by sex and age,Male,25+,Adults,13.56,11.851,11.678,10.701,9.139,8.232,9.065,7.937,5.998,6.228,6.038
Qatar,Unemployment rate by sex and age,Male,25+,Adults,0.027,0.034,0.038,0.035,0.044,0.04,0.056,0.064,0.067,0.063,0.06
Romania,Unemployment rate by sex and age,Male,25+,Adults,5.982,6.403,5.55,4.631,3.827,3.369,4.304,4.828,4.83,4.813,4.703
Russia,Unemployment rate by sex and age,Male,25+,Adults,4.644,4.903,4.849,4.518,4.053,3.902,4.897,3.899,3.124,2.499,2.493
Rwanda,Unemployment rate by sex and age,Male,25+,Adults,9.818,9.822,9.786,9.874,8.574,9.033,9.597,12.016,11.633,11.493,11.379
Saint Lucia,Unemployment rate by sex and age,Male,25+,Adults,12.365,11.733,10.997,10.404,11.807,9.09,14.007,12.535,10.39,8.049,8.158
Saint Vincent and the Grenadines,Unemployment rate by sex and age,Male,25+,Adults,15.47,15.405,15.387,15.443,15.535,15.87,17.461,17.414,16.384,15.466,14.864
Samoa,Unemployment rate by sex and age,Male,25+,Adults,5.66,5.158,4.674,4.299,4.371,4.431,4.929,5.109,4.732,4.35,4.241
Sao Tome and Principe,Unemployment rate by sex and age,Male,25+,Adults,8.028,8.038,8.113,8.264,8.323,8.435,9.344,9.411,8.55,8.436,8.344
Saudi Arabia,Unemployment rate by sex and age,Male,25+,Adults,1.584,1.364,1.533,1.999,1.973,1.522,2.771,2.445,1.932,1.338,1.069
